Central,North,South,East,West,flat_type,storey_range,floor_area_sqm,remaining_lease_decimal,resale_price
1,0,0,0,0,4,1,84,61.08,475888
1,0,0,0,0,4,1,84,62.04,450000
1,0,0,0,0,4,1,84,61.11,457000
1,0,0,0,0,4,1,84,62.04,435000
1,0,0,0,0,4,1,84,61.11,480000
1,0,0,0,0,5,1,120,74.04,1000000
1,0,0,0,0,5,1,117,53.03,596888
1,0,0,0,0,5,2,117,53.03,690000
1,0,0,0,0,5,1,118,56.07,635000
1,0,0,0,0,5,1,114,76.05,930000
1,0,0,0,0,3,1,68,55.08,400888
1,0,0,0,0,3,1,68,55.08,400000
1,0,0,0,0,3,1,68,48.02,342000
1,0,0,0,0,3,2,68,93.11,700000
1,0,0,0,0,3,1,66,48,340000
1,0,0,0,0,3,2,68,93.1,700000
1,0,0,0,0,3,2,68,93.11,718000
1,0,0,0,0,3,1,98,48.06,888000
1,0,0,0,0,3,1,56,46.06,290000
1,0,0,0,0,3,1,100.2,48.06,930000
1,0,0,0,0,3,1,60,45,309000
1,0,0,0,0,3,1,65,50.06,360000
1,0,0,0,0,3,1,65,56.11,295000
1,0,0,0,0,3,1,59,49.06,345000
1,0,0,0,0,3,1,60,62.04,355000
1,0,0,0,0,3,1,82,58.02,450000
1,0,0,0,0,3,1,74,59.04,505000
1,0,0,0,0,3,2,67,88.04,629000
1,0,0,0,0,3,1,65,51,398000
1,0,0,0,0,3,1,65,49.11,365000
